Year,geoId,County,Population,Median_Age,Unemployment,Income,Crimes
2012,geoId/06021,Glenn County,27860,36.5,14.4,42641,nan
2013,geoId/06021,Glenn County,27826,37.2,12.2,43023,nan
2014,geoId/06021,Glenn County,27857,36.7,10.8,40106,nan
2015,geoId/06021,Glenn County,27776,37.2,8.8,39349,nan
2016,geoId/06021,Glenn County,27851,36.9,8.4,41699,nan
2017,geoId/06021,Glenn County,27956,36.8,7.5,46260,nan
2018,geoId/06021,Glenn County,28047,36.6,6.6,47395,nan
2019,geoId/06021,Glenn County,27976,36.4,6.2,49633,nan
1980,geoId/06023,Humboldt County,108525,nan,nan,nan,nan
1981,geoId/06023,Humboldt County,110338,nan,nan,nan,nan
1982,geoId/06023,Humboldt County,109889,nan,nan,nan,nan
1983,geoId/06023,Humboldt County,109638,nan,nan,nan,nan
1984,geoId/06023,Humboldt County,110275,nan,nan,nan,nan
1985,geoId/06023,Humboldt County,111050,nan,nan,nan,nan
1986,geoId/06023,Humboldt County,111702,nan,nan,nan,nan
1987,geoId/06023,Humboldt County,112818,nan,nan,nan,nan
1988,geoId/06023,Humboldt County,114774,nan,nan,nan,nan
1989,geoId/06023,Humboldt County,117161,nan,nan,nan,nan
1990,geoId/06023,Humboldt County,119596,nan,7.9,nan,nan
1991,geoId/06023,Humboldt County,120612,nan,8.9,nan,nan
1992,geoId/06023,Humboldt County,121751,nan,10.1,nan,nan
1993,geoId/06023,Humboldt County,122234,nan,9.9,nan,nan
1994,geoId/06023,Humboldt County,121480,nan,8.7,nan,nan
1995,geoId/06023,Humboldt County,122814,nan,8.3,nan,nan
1996,geoId/06023,Humboldt County,122421,nan,7.8,nan,nan
1997,geoId/06023,Humboldt County,122639,nan,7.4,nan,nan
1998,geoId/06023,Humboldt County,122163,nan,7.2,nan,nan
1999,geoId/06023,Humboldt County,121358,nan,6.5,nan,nan
2000,geoId/06023,Humboldt County,126386,nan,5.7,nan,nan
2001,geoId/06023,Humboldt County,127096,nan,6,nan,nan
2002,geoId/06023,Humboldt County,127988,nan,6.8,nan,nan
2003,geoId/06023,Humboldt County,128578,nan,6.9,nan,nan
2004,geoId/06023,Humboldt County,129149,nan,6.5,nan,nan
2005,geoId/06023,Humboldt County,129528,nan,6.1,nan,nan
2006,geoId/06023,Humboldt County,129670,nan,5.5,nan,nan
2007,geoId/06023,Humboldt County,129165,nan,5.9,nan,nan
2008,geoId/06023,Humboldt County,129372,nan,7.3,nan,nan
2009,geoId/06023,Humboldt County,129996,nan,11.1,nan,nan
2010,geoId/06023,Humboldt County,135000,nan,10.8,nan,nan
2011,geoId/06023,Humboldt County,135243,37.3,10.7,40376,nan
2012,geoId/06023,Humboldt County,134572,37.5,9.7,40830,nan
2013,geoId/06023,Humboldt County,134403,37.5,8.2,41426,nan
2014,geoId/06023,Humboldt County,134494,37.4,6.7,42153,nan
2015,geoId/06023,Humboldt County,135102,37.4,5.6,42197,nan
2016,geoId/06023,Humboldt County,136290,37.6,4.9,42685,nan
2017,geoId/06023,Humboldt County,136507,37.7,4.2,43718,nan
2018,geoId/06023,Humboldt County,136244,38,3.6,45528,nan
2019,geoId/06023,Humboldt County,135558,38.4,3.7,48041,nan
1980,geoId/06025,Imperial County,92110,nan,nan,nan,nan
1981,geoId/06025,Imperial County,94301,nan,nan,nan,nan
1982,geoId/06025,Imperial County,95688,nan,nan,nan,nan
1983,geoId/06025,Imperial County,96890,nan,nan,nan,nan
1984,geoId/06025,Imperial County,97475,nan,nan,nan,nan
1985,geoId/06025,Imperial County,99199,nan,nan,nan,nan
1986,geoId/06025,Imperial County,98885,nan,nan,nan,nan
1987,geoId/06025,Imperial County,100077,nan,nan,nan,nan
1988,geoId/06025,Imperial County,101881,nan,nan,nan,nan
1989,geoId/06025,Imperial County,105166,nan,nan,nan,nan
1990,geoId/06025,Imperial County,110930,nan,25.4,nan,nan
1991,geoId/06025,Imperial County,117663,nan,26.3,nan,nan
1992,geoId/06025,Imperial County,127533,nan,30.9,nan,nan
1993,geoId/06025,Imperial County,134624,nan,29.4,nan,nan
1994,geoId/06025,Imperial County,136248,nan,26.5,nan,nan
1995,geoId/06025,Imperial County,139418,nan,29.2,nan,nan
1996,geoId/06025,Imperial County,140921,nan,30.1,nan,nan
1997,geoId/06025,Imperial County,142155,nan,26.9,nan,nan
1998,geoId/06025,Imperial County,143735,nan,26,nan,nan
1999,geoId/06025,Imperial County,145287,nan,23.7,nan,nan
2000,geoId/06025,Imperial County,142359,nan,17.3,nan,nan
2001,geoId/06025,Imperial County,143295,nan,16,nan,nan
2002,geoId/06025,Imperial County,144818,nan,15.1,nan,nan
2003,geoId/06025,Imperial County,147671,nan,15.7,nan,nan
2004,geoId/06025,Imperial County,150509,nan,17,nan,nan
2005,geoId/06025,Imperial County,153780,nan,15.9,nan,nan
2006,geoId/06025,Imperial County,157671,nan,15.4,nan,nan
2007,geoId/06025,Imperial County,161134,nan,17.9,nan,nan
2008,geoId/06025,Imperial County,164005,nan,22.6,nan,nan
2009,geoId/06025,Imperial County,167466,nan,28.3,nan,nan
2010,geoId/06025,Imperial County,174730,nan,29.4,nan,nan
2011,geoId/06025,Imperial County,175786,31.8,29.3,39402,nan
2012,geoId/06025,Imperial County,176575,31.8,27.7,41255,nan
2013,geoId/06025,Imperial County,176438,31.8,25.3,41807,nan
2014,geoId/06025,Imperial County,177974,31.9,24.3,41772,nan
2015,geoId/06025,Imperial County,178937,32.2,24.6,41079,nan
2016,geoId/06025,Imperial County,180179,32.2,24.2,42560,nan
2017,geoId/06025,Imperial County,181649,32.2,19.7,44779,nan
2018,geoId/06025,Imperial County,181523,32.4,18.8,45834,nan
2019,geoId/06025,Imperial County,181215,32.4,20.9,47622,nan
1980,geoId/06027,Inyo County,17895,nan,nan,nan,nan
1981,geoId/06027,Inyo County,17954,nan,nan,nan,nan
1982,geoId/06027,Inyo County,18410,nan,nan,nan,nan
1983,geoId/06027,Inyo County,18420,nan,nan,nan,nan
1984,geoId/06027,Inyo County,18203,nan,nan,nan,nan
1985,geoId/06027,Inyo County,18083,nan,nan,nan,nan
1986,geoId/06027,Inyo County,17862,nan,nan,nan,nan
1987,geoId/06027,Inyo County,17794,nan,nan,nan,nan
1988,geoId/06027,Inyo County,17946,nan,nan,nan,nan
1989,geoId/06027,Inyo County,18317,nan,nan,nan,nan
1990,geoId/06027,Inyo County,18273,nan,7.1,nan,nan
1991,geoId/06027,Inyo County,18321,nan,9.8,nan,nan
1992,geoId/06027,Inyo County,18374,nan,11.6,nan,nan
1993,geoId/06027,Inyo County,18346,nan,11.2,nan,nan
1994,geoId/06027,Inyo County,18450,nan,10.6,nan,nan
1995,geoId/06027,Inyo County,18420,nan,9.4,nan,nan
1996,geoId/06027,Inyo County,18338,nan,8.7,nan,nan
1997,geoId/06027,Inyo County,18273,nan,8.2,nan,nan
1998,geoId/06027,Inyo County,18071,nan,7.3,nan,nan
1999,geoId/06027,Inyo County,17958,nan,5.7,nan,nan
2000,geoId/06027,Inyo County,17911,nan,4.6,nan,nan
2001,geoId/06027,Inyo County,17955,nan,4.6,nan,nan
2002,geoId/06027,Inyo County,18109,nan,5.5,nan,nan
2003,geoId/06027,Inyo County,18183,nan,5.8,nan,nan
2004,geoId/06027,Inyo County,18047,nan,5.3,nan,nan
2005,geoId/06027,Inyo County,17828,nan,4.9,nan,nan
2006,geoId/06027,Inyo County,17597,nan,4.6,nan,nan
2007,geoId/06027,Inyo County,17531,nan,4.9,nan,nan
2008,geoId/06027,Inyo County,17304,nan,6.6,nan,nan
2009,geoId/06027,Inyo County,17397,nan,9.3,nan,nan
2010,geoId/06027,Inyo County,18512,nan,10,nan,nan
2011,geoId/06027,Inyo County,18393,45.1,9.9,49571,nan
2012,geoId/06027,Inyo County,18353,45.7,9.2,45000,nan
2013,geoId/06027,Inyo County,18360,45.7,7.9,44796,nan
2014,geoId/06027,Inyo County,18320,45.3,6.9,45625,nan
2015,geoId/06027,Inyo County,18174,45.7,5.8,45955,nan
2016,geoId/06027,Inyo County,17996,45.4,5.3,47278,nan
2017,geoId/06027,Inyo County,17948,45.6,4.4,51500,nan
2018,geoId/06027,Inyo County,17987,45.7,3.9,52874,nan
2019,geoId/06027,Inyo County,17977,45.8,3.6,57316,nan
1980,geoId/06029,Kern County,403089,nan,nan,nan,nan
1981,geoId/06029,Kern County,418877,nan,nan,nan,nan
1982,geoId/06029,Kern County,433698,nan,nan,nan,nan
1983,geoId/06029,Kern County,446961,nan,nan,nan,nan
1984,geoId/06029,Kern County,459411,nan,nan,nan,nan
1985,geoId/06029,Kern County,474243,nan,nan,nan,nan
1986,geoId/06029,Kern County,486217,nan,nan,nan,nan
1987,geoId/06029,Kern County,497910,nan,nan,nan,nan
1988,geoId/06029,Kern County,510980,nan,nan,nan,nan
1989,geoId/06029,Kern County,527922,nan,nan,nan,nan
1990,geoId/06029,Kern County,549219,nan,10.9,nan,nan
1991,geoId/06029,Kern County,569829,nan,12.3,nan,nan
1992,geoId/06029,Kern County,586745,nan,15.8,nan,nan
1993,geoId/06029,Kern County,597880,nan,15.8,nan,nan
1994,geoId/06029,Kern County,608858,nan,15.2,nan,nan
1995,geoId/06029,Kern County,612897,nan,13.8,nan,nan
1996,geoId/06029,Kern County,618020,nan,13.1,nan,nan
1997,geoId/06029,Kern County,624577,nan,12.5,nan,nan
1998,geoId/06029,Kern County,631615,nan,12.2,nan,nan
1999,geoId/06029,Kern County,642495,nan,11.5,nan,nan
2000,geoId/06029,Kern County,663487,nan,8.2,nan,nan
2001,geoId/06029,Kern County,674548,nan,8.6,nan,nan
2002,geoId/06029,Kern County,690146,nan,9.9,nan,nan
2003,geoId/06029,Kern County,708305,nan,10.4,nan,nan
2004,geoId/06029,Kern County,728087,nan,9.9,nan,nan
2005,geoId/06029,Kern County,750114,nan,8.4,nan,nan
2006,geoId/06029,Kern County,771350,nan,7.5,nan,nan
2007,geoId/06029,Kern County,787573,nan,8.1,nan,nan
2008,geoId/06029,Kern County,799959,nan,9.9,nan,nan
2009,geoId/06029,Kern County,809046,nan,14.6,nan,nan
2010,geoId/06029,Kern County,841072,nan,16,nan,nan
2011,geoId/06029,Kern County,847970,30.6,15.1,48021,nan
2012,geoId/06029,Kern County,853606,30.7,13.4,47727,nan
2013,geoId/06029,Kern County,862000,30.8,11.9,48552,nan
2014,geoId/06029,Kern County,869176,31,10.5,48574,nan
2015,geoId/06029,Kern County,876031,31.1,10.3,49026,nan
2016,geoId/06029,Kern County,880856,31.2,10.4,49788,nan
2017,geoId/06029,Kern County,887356,31.3,9.3,50826,nan
2018,geoId/06029,Kern County,893758,31.5,8.1,52479,nan
2019,geoId/06029,Kern County,900202,31.6,7.9,53350,nan
1980,geoId/06031,Kings County,73738,nan,nan,nan,nan
1981,geoId/06031,Kings County,76229,nan,nan,nan,nan
1982,geoId/06031,Kings County,78213,nan,nan,nan,nan
1983,geoId/06031,Kings County,81138,nan,nan,nan,nan
1984,geoId/06031,Kings County,83004,nan,nan,nan,nan
1985,geoId/06031,Kings County,85205,nan,nan,nan,nan
1986,geoId/06031,Kings County,86372,nan,nan,nan,nan
1987,geoId/06031,Kings County,88032,nan,nan,nan,nan
1988,geoId/06031,Kings County,94510,nan,nan,nan,nan
1989,geoId/06031,Kings County,99850,nan,nan,nan,nan
1990,geoId/06031,Kings County,101809,nan,11.2,nan,nan
1991,geoId/06031,Kings County,104357,nan,12.8,nan,nan
1992,geoId/06031,Kings County,106510,nan,15.3,nan,nan
1993,geoId/06031,Kings County,107978,nan,15.3,nan,nan
1994,geoId/06031,Kings County,110146,nan,14.3,nan,nan
1995,geoId/06031,Kings County,112076,nan,14.5,nan,nan
1996,geoId/06031,Kings County,113329,nan,13.3,nan,nan
1997,geoId/06031,Kings County,114344,nan,13.3,nan,nan
1998,geoId/06031,Kings County,118667,nan,13.9,nan,nan
1999,geoId/06031,Kings County,123241,nan,13.2,nan,nan
2000,geoId/06031,Kings County,129819,nan,9.9,nan,nan
2001,geoId/06031,Kings County,132565,nan,10.7,nan,nan
2002,geoId/06031,Kings County,134702,nan,11.8,nan,nan
2003,geoId/06031,Kings County,138331,nan,12.1,nan,nan
2004,geoId/06031,Kings County,142144,nan,11,nan,nan
2005,geoId/06031,Kings County,143320,nan,9.4,nan,nan
2006,geoId/06031,Kings County,145459,nan,8.4,nan,nan
2007,geoId/06031,Kings County,147826,nan,8.6,nan,nan
2008,geoId/06031,Kings County,149036,nan,10.6,nan,nan
2009,geoId/06031,Kings County,148884,nan,14.8,nan,nan
2010,geoId/06031,Kings County,152381,nan,16.5,nan,nan
2011,geoId/06031,Kings County,151868,31,16.2,48838,nan
2012,geoId/06031,Kings County,150991,31.2,15.1,48761,nan
2013,geoId/06031,Kings County,150337,31.1,13.6,48133,nan
2014,geoId/06031,Kings County,149495,31.2,12.1,47341,nan
2015,geoId/06031,Kings County,150085,31.4,10.6,46481,nan
2016,geoId/06031,Kings County,149382,31.4,10,47241,nan
2017,geoId/06031,Kings County,149665,31.5,9,49742,nan
2018,geoId/06031,Kings County,151382,31.7,7.9,53865,nan
2019,geoId/06031,Kings County,152940,31.8,8,57848,nan
1980,geoId/06033,Lake County,36366,nan,nan,nan,nan
1981,geoId/06033,Lake County,38623,nan,nan,nan,nan
1982,geoId/06033,Lake County,39991,nan,nan,nan,nan
1983,geoId/06033,Lake County,41805,nan,nan,nan,nan
1984,geoId/06033,Lake County,43812,nan,nan,nan,nan
1985,geoId/06033,Lake County,45494,nan,nan,nan,nan
1986,geoId/06033,Lake County,46135,nan,nan,nan,nan
1987,geoId/06033,Lake County,47139,nan,nan,nan,nan
1988,geoId/06033,Lake County,47911,nan,nan,nan,nan
1989,geoId/06033,Lake County,48942,nan,nan,nan,nan
1990,geoId/06033,Lake County,51106,nan,8.8,nan,nan
1991,geoId/06033,Lake County,52802,nan,10.7,nan,nan
1992,geoId/06033,Lake County,53919,nan,12.9,nan,nan
1993,geoId/06033,Lake County,54839,nan,13.4,nan,nan
1994,geoId/06033,Lake County,55243,nan,12.6,nan,nan
1995,geoId/06033,Lake County,55230,nan,11.7,nan,nan
1996,geoId/06033,Lake County,55098,nan,11.8,nan,nan
1997,geoId/06033,Lake County,54842,nan,10.8,nan,nan
1998,geoId/06033,Lake County,55076,nan,9.6,nan,nan
1999,geoId/06033,Lake County,55405,nan,7.8,nan,nan
2000,geoId/06033,Lake County,58570,nan,7.2,nan,nan
2001,geoId/06033,Lake County,60381,nan,7.1,nan,nan
2002,geoId/06033,Lake County,61806,nan,8.4,nan,nan
2003,geoId/06033,Lake County,62919,nan,9.2,nan,nan
2004,geoId/06033,Lake County,63668,nan,9,nan,nan
2005,geoId/06033,Lake County,64491,nan,7.9,nan,nan
2006,geoId/06033,Lake County,65000,nan,7.7,nan,nan
2007,geoId/06033,Lake County,64993,nan,8.4,nan,nan
2008,geoId/06033,Lake County,65427,nan,10.7,nan,nan
2009,geoId/06033,Lake County,65561,nan,15.6,nan,nan
2010,geoId/06033,Lake County,64735,nan,15.5,nan,nan
2011,geoId/06033,Lake County,64251,44.3,14.8,39525,nan
2012,geoId/06033,Lake County,63954,44.8,13,38147,nan
2013,geoId/06033,Lake County,63796,45.1,11,36548,nan
2014,geoId/06033,Lake County,64044,45.2,9,35997,nan
2015,geoId/06033,Lake County,64260,45.5,7.6,35578,nan
2016,geoId/06033,Lake County,63903,45.8,6.7,36132,nan
2017,geoId/06033,Lake County,64111,45.8,5.8,40446,nan
2018,geoId/06033,Lake County,64317,45.6,5.3,42475,nan
2019,geoId/06033,Lake County,64386,45.6,5.2,47040,nan
1980,geoId/06035,Lassen County,21661,nan,nan,nan,nan
1981,geoId/06035,Lassen County,22570,nan,nan,nan,nan
1982,geoId/06035,Lassen County,23370,nan,nan,nan,nan
1983,geoId/06035,Lassen County,23558,nan,nan,nan,nan
1984,geoId/06035,Lassen County,23830,nan,nan,nan,nan
1985,geoId/06035,Lassen County,24128,nan,nan,nan,nan
1986,geoId/06035,Lassen County,24639,nan,nan,nan,nan
1987,geoId/06035,Lassen County,26051,nan,nan,nan,nan
1988,geoId/06035,Lassen County,26681,nan,nan,nan,nan
1989,geoId/06035,Lassen County,27334,nan,nan,nan,nan
1990,geoId/06035,Lassen County,27653,nan,9.8,nan,nan
1991,geoId/06035,Lassen County,28038,nan,10.5,nan,nan
1992,geoId/06035,Lassen County,27973,nan,11.5,nan,nan
1993,geoId/06035,Lassen County,28231,nan,12.4,nan,nan
1994,geoId/06035,Lassen County,28062,nan,11.5,nan,nan
1995,geoId/06035,Lassen County,28296,nan,11,nan,nan
1996,geoId/06035,Lassen County,31270,nan,11,nan,nan
1997,geoId/06035,Lassen County,33432,nan,9.7,nan,nan
1998,geoId/06035,Lassen County,33281,nan,9.4,nan,nan
1999,geoId/06035,Lassen County,33028,nan,7.1,nan,nan
2000,geoId/06035,Lassen County,33728,nan,7.1,nan,nan
2001,geoId/06035,Lassen County,33510,nan,7.4,nan,nan
2002,geoId/06035,Lassen County,33329,nan,7.8,nan,nan
2003,geoId/06035,Lassen County,33765,nan,7.8,nan,nan
2004,geoId/06035,Lassen County,34222,nan,7.6,nan,nan
2005,geoId/06035,Lassen County,34204,nan,8,nan,nan
2006,geoId/06035,Lassen County,34249,nan,7.9,nan,nan
2007,geoId/06035,Lassen County,35172,nan,8.1,nan,nan
2008,geoId/06035,Lassen County,34738,nan,9.6,nan,nan
2009,geoId/06035,Lassen County,34651,nan,12.8,nan,nan
2010,geoId/06035,Lassen County,34832,nan,14.4,nan,nan
2011,geoId/06035,Lassen County,34246,37,13.8,52484,nan
2012,geoId/06035,Lassen County,33629,37.4,12.7,51921,nan
2013,geoId/06035,Lassen County,32129,37.3,10.7,53107,nan
2014,geoId/06035,Lassen County,31664,37.3,9.2,53351,nan
2015,geoId/06035,Lassen County,31256,37,7.3,51555,nan
2016,geoId/06035,Lassen County,30721,36.4,7,51457,nan
2017,geoId/06035,Lassen County,30920,36.2,5.6,54083,nan
2018,geoId/06035,Lassen County,30618,36,4.8,56362,nan
2019,geoId/06035,Lassen County,30573,36.6,4.7,56352,nan
1980,geoId/06037,Los Angeles County,7477239,nan,nan,nan,nan
1981,geoId/06037,Los Angeles County,7608796,nan,nan,nan,nan
1982,geoId/06037,Los Angeles County,7767422,nan,nan,nan,nan
1983,geoId/06037,Los Angeles County,7920955,nan,nan,nan,nan
1984,geoId/06037,Los Angeles County,8041685,nan,nan,nan,nan
1985,geoId/06037,Los Angeles County,8182906,nan,nan,nan,nan
1986,geoId/06037,Los Angeles County,8393640,nan,nan,nan,nan
1987,geoId/06037,Los Angeles County,8553844,nan,nan,nan,nan
1988,geoId/06037,Los Angeles County,8667680,nan,nan,nan,nan
1989,geoId/06037,Los Angeles County,8793710,nan,nan,nan,nan
1990,geoId/06037,Los Angeles County,8875317,nan,5.9,nan,nan
1991,geoId/06037,Los Angeles County,8931985,nan,8,nan,nan
1992,geoId/06037,Los Angeles County,9021867,nan,9.8,nan,nan
1993,geoId/06037,Los Angeles County,9064197,nan,10,nan,nan
1994,geoId/06037,Los Angeles County,9048129,nan,9.2,nan,nan
1995,geoId/06037,Los Angeles County,9029470,nan,8.1,nan,nan
1996,geoId/06037,Los Angeles County,9056547,nan,8.2,nan,nan
1997,geoId/06037,Los Angeles County,9126131,nan,6.9,nan,nan
1998,geoId/06037,Los Angeles County,9223807,nan,6.5,nan,nan
1999,geoId/06037,Los Angeles County,9329989,nan,5.9,nan,nan
2000,geoId/06037,Los Angeles County,9542100,nan,5.4,nan,nan
2001,geoId/06037,Los Angeles County,9642296,nan,5.7,nan,nan
2002,geoId/06037,Los Angeles County,9734137,nan,6.8,nan,nan
2003,geoId/06037,Los Angeles County,9806607,nan,7,nan,nan
2004,geoId/06037,Los Angeles County,9843680,nan,6.5,nan,nan
2005,geoId/06037,Los Angeles County,9846755,nan,5.3,nan,nan
2006,geoId/06037,Los Angeles County,9806147,nan,4.8,nan,nan
2007,geoId/06037,Los Angeles County,9777595,nan,5.1,nan,nan
2008,geoId/06037,Los Angeles County,9820942,nan,7.5,nan,nan
2009,geoId/06037,Los Angeles County,9881323,nan,11.7,nan,nan
2010,geoId/06037,Los Angeles County,9822433,nan,12.6,nan,nan
2011,geoId/06037,Los Angeles County,9876482,34.6,12.2,56266,nan
2012,geoId/06037,Los Angeles County,9935375,34.8,11,56241,nan
2013,geoId/06037,Los Angeles County,9992484,35.1,9.8,55909,nan
2014,geoId/06037,Los Angeles County,10040072,35.3,8.2,55870,nan
2015,geoId/06037,Los Angeles County,10085416,35.6,6.7,56196,nan
2016,geoId/06037,Los Angeles County,10105708,35.8,5.3,57952,nan
2017,geoId/06037,Los Angeles County,10103711,36,4.8,61015,nan
2018,geoId/06037,Los Angeles County,10073906,36.2,4.7,64251,nan
2019,geoId/06037,Los Angeles County,10039107,36.5,4.6,68044,nan
1980,geoId/06039,Madera County,63116,nan,nan,nan,nan
1981,geoId/06039,Madera County,67214,nan,nan,nan,nan
1982,geoId/06039,Madera County,69240,nan,nan,nan,nan
1983,geoId/06039,Madera County,71504,nan,nan,nan,nan
1984,geoId/06039,Madera County,72996,nan,nan,nan,nan
1985,geoId/06039,Madera County,75118,nan,nan,nan,nan
1986,geoId/06039,Madera County,76960,nan,nan,nan,nan
1987,geoId/06039,Madera County,79003,nan,nan,nan,nan
1988,geoId/06039,Madera County,81762,nan,nan,nan,nan
1989,geoId/06039,Madera County,84797,nan,nan,nan,nan
1990,geoId/06039,Madera County,89014,nan,13.4,nan,nan
1991,geoId/06039,Madera County,95042,nan,15.1,nan,nan
1992,geoId/06039,Madera County,98751,nan,16.8,nan,nan
1993,geoId/06039,Madera County,102681,nan,16.3,nan,nan
1994,geoId/06039,Madera County,105181,nan,15.5,nan,nan
1995,geoId/06039,Madera County,106535,nan,14.9,nan,nan
1996,geoId/06039,Madera County,109751,nan,14.3,nan,nan
1997,geoId/06039,Madera County,112440,nan,13.6,nan,nan
1998,geoId/06039,Madera County,114523,nan,12.8,nan,nan
1999,geoId/06039,Madera County,116760,nan,11.7,nan,nan
2000,geoId/06039,Madera County,123626,nan,8.6,nan,nan
2001,geoId/06039,Madera County,125667,nan,9.6,nan,nan
2002,geoId/06039,Madera County,128472,nan,10.7,nan,nan
2003,geoId/06039,Madera County,132856,nan,10.4,nan,nan
2004,geoId/06039,Madera County,137243,nan,9.2,nan,nan
2005,geoId/06039,Madera County,140461,nan,7.9,nan,nan
2006,geoId/06039,Madera County,143754,nan,7,nan,nan
2007,geoId/06039,Madera County,146203,nan,7.4,nan,nan
2008,geoId/06039,Madera County,148486,nan,9.5,nan,nan
2009,geoId/06039,Madera County,149353,nan,13.9,nan,nan
2010,geoId/06039,Madera County,151006,nan,17,nan,nan
2011,geoId/06039,Madera County,151675,33.2,16.4,47724,nan
2012,geoId/06039,Madera County,151527,33.2,14.7,47937,nan
2013,geoId/06039,Madera County,151370,33.2,12.7,45625,nan
2014,geoId/06039,Madera County,153456,33.3,11.3,45490,nan
2015,geoId/06039,Madera County,153576,33.5,10.6,45073,nan
2016,geoId/06039,Madera County,153956,33.5,9.3,45742,nan
2017,geoId/06039,Madera County,155423,33.7,8.2,48210,nan
2018,geoId/06039,Madera County,156882,33.9,7.1,52884,nan
2019,geoId/06039,Madera County,157327,34.1,7,57585,nan
1980,geoId/06041,Marin County,222592,nan,nan,nan,nan
1981,geoId/06041,Marin County,223911,nan,nan,nan,nan
1982,geoId/06041,Marin County,223426,nan,nan,nan,nan
1983,geoId/06041,Marin County,223972,nan,nan,nan,nan
1984,geoId/06041,Marin County,223232,nan,nan,nan,nan
1985,geoId/06041,Marin County,222459,nan,nan,nan,nan
1986,geoId/06041,Marin County,224013,nan,nan,nan,nan
1987,geoId/06041,Marin County,224938,nan,nan,nan,nan
1988,geoId/06041,Marin County,226013,nan,nan,nan,nan
1989,geoId/06041,Marin County,229176,nan,nan,nan,nan
1990,geoId/06041,Marin County,230263,nan,2.5,nan,nan
1991,geoId/06041,Marin County,232088,nan,3.9,nan,nan
1992,geoId/06041,Marin County,233528,nan,5.1,nan,nan
1993,geoId/06041,Marin County,234606,nan,5.2,nan,nan
1994,geoId/06041,Marin County,234777,nan,4.7,nan,nan
1995,geoId/06041,Marin County,233943,nan,4.3,nan,nan
1996,geoId/06041,Marin County,232489,nan,3.5,nan,nan
1997,geoId/06041,Marin County,234518,nan,2.9,nan,nan
1998,geoId/06041,Marin County,236377,nan,2.3,nan,nan
1999,geoId/06041,Marin County,236768,nan,2,nan,nan
2000,geoId/06041,Marin County,247600,nan,2.8,nan,nan
2001,geoId/06041,Marin County,248124,nan,3.5,nan,nan
2002,geoId/06041,Marin County,246630,nan,4.9,nan,nan
2003,geoId/06041,Marin County,245591,nan,5,nan,nan
2004,geoId/06041,Marin County,244410,nan,4.4,nan,nan
2005,geoId/06041,Marin County,244958,nan,3.9,nan,nan
2006,geoId/06041,Marin County,245360,nan,3.5,nan,nan
2007,geoId/06041,Marin County,247083,nan,3.6,nan,nan
2008,geoId/06041,Marin County,249270,nan,4.7,nan,nan
2009,geoId/06041,Marin County,251765,nan,7.8,nan,nan
2010,geoId/06041,Marin County,252905,nan,8.1,nan,nan
2011,geoId/06041,Marin County,255376,44.3,7.4,89605,nan
2012,geoId/06041,Marin County,256061,44.6,6.4,90962,nan
2013,geoId/06041,Marin County,258409,44.8,5.2,90839,nan
2014,geoId/06041,Marin County,260359,45.1,4.3,91529,nan
2015,geoId/06041,Marin County,260916,45.4,3.6,93257,nan
2016,geoId/06041,Marin County,260562,45.7,3.3,100310,nan
2017,geoId/06041,Marin County,259749,46.1,2.9,104703,nan
2018,geoId/06041,Marin County,259662,46.5,2.4,110217,nan
2019,geoId/06041,Marin County,258826,46.8,2.4,115246,nan
1980,geoId/06043,Mariposa County,11108,nan,nan,nan,nan
1981,geoId/06043,Mariposa County,11555,nan,nan,nan,nan
1982,geoId/06043,Mariposa County,11798,nan,nan,nan,nan
1983,geoId/06043,Mariposa County,11980,nan,nan,nan,nan
1984,geoId/06043,Mariposa County,12310,nan,nan,nan,nan
1985,geoId/06043,Mariposa County,12654,nan,nan,nan,nan
1986,geoId/06043,Mariposa County,12873,nan,nan,nan,nan
1987,geoId/06043,Mariposa County,13130,nan,nan,nan,nan
1988,geoId/06043,Mariposa County,13514,nan,nan,nan,nan
1989,geoId/06043,Mariposa County,13907,nan,nan,nan,nan
1990,geoId/06043,Mariposa County,14412,nan,5.6,nan,nan
1991,geoId/06043,Mariposa County,14862,nan,7.2,nan,nan
1992,geoId/06043,Mariposa County,15242,nan,8.8,nan,nan
1993,geoId/06043,Mariposa County,15439,nan,10.1,nan,nan
1994,geoId/06043,Mariposa County,15553,nan,9.6,nan,nan
1995,geoId/06043,Mariposa County,15652,nan,9.3,nan,nan
1996,geoId/06043,Mariposa County,15836,nan,9.1,nan,nan
1997,geoId/06043,Mariposa County,15559,nan,10.1,nan,nan
1998,geoId/06043,Mariposa County,15786,nan,7.7,nan,nan
1999,geoId/06043,Mariposa County,15605,nan,7.5,nan,nan
2000,geoId/06043,Mariposa County,17108,nan,6.1,nan,nan
2001,geoId/06043,Mariposa County,17085,nan,5.8,nan,nan
2002,geoId/06043,Mariposa County,17202,nan,6.5,nan,nan
2003,geoId/06043,Mariposa County,17622,nan,7,nan,nan
2004,geoId/06043,Mariposa County,17713,nan,6.7,nan,nan
2005,geoId/06043,Mariposa County,17794,nan,6.3,nan,nan
2006,geoId/06043,Mariposa County,17979,nan,5.6,nan,nan
2007,geoId/06043,Mariposa County,18061,nan,6,nan,nan
2008,geoId/06043,Mariposa County,18044,nan,7.6,nan,nan
2009,geoId/06043,Mariposa County,17789,nan,10.7,nan,nan
2010,geoId/06043,Mariposa County,18277,nan,13.3,nan,nan
